"Player","team","pos","base"
"Chris Jones","DAL","P","$1,900,000"
"Gareon Conley","HOU","CB","$1,892,376"
"Jabrill Peppers","NYG","SS","$1,875,271"
"Patrick Robinson","NO","CB","$1,870,000"
"P.J. Williams","NO","CB","$1,870,000"
"Miles Killebrew","DET","SS","$1,862,500"
"Vita Vea","TB","DT","$1,827,658"
"Laken Tomlinson","SF","G","$1,825,000"
"Weston Richburg","SF","C","$1,821,473"
"Da'Ron Payne","WAS","DT","$1,790,760"
"John Miller","CAR","G","$1,790,000"
"Josh Hill","NO","TE","$1,785,000"
"Everson Griffen","DET","DE","$1,764,706"
"David Njoku","CLE","TE","$1,763,877"
"Ben Garland","SF","C","$1,750,000"
"L.J. Fort","BAL","ILB","$1,750,000"
"Pat O'Donnell","CHI","P","$1,750,000"
"Adrian Clayborn","CLE","DE","$1,750,000"
"Tyler Matakevich","BUF","ILB","$1,750,000"
"Zach Banner","PIT","G","$1,750,000"
"Adrian Amos","GB","FS","$1,750,000"
"Christian Kirksey","GB","ILB","$1,750,000"
"Greg Olsen","SEA","TE","$1,750,000"
"Graham Gano","NYG","K","$1,750,000"
"Derek Carrier","LV","TE","$1,750,000"
"Anthony Brown","DAL","CB","$1,750,000"
"Marcus Davenport","NO","DE","$1,729,263"
"T.J. Watt","PIT","OLB","$1,727,532"
"Kolton Miller","LV","LT","$1,704,666"
"Craig Robertson","NO","ILB","$1,700,000"
"Reuben Foster","WAS","ILB","$1,697,088"
"Sheldon Rankins","NO","DT","$1,690,000"
"Kenny Clark","GB","DT","$1,690,000"
"Ryan Ramczyk","NO","RT","$1,677,485"
"Anthony Levine","BAL","SS","$1,675,000"
"Cooper Kupp","LAR","WR","$1,633,000"
"Tremaine Edmunds","BUF","ILB","$1,630,868"
"Damion Square","LAC","DT","$1,612,500"
"Derwin James","LAC","S","$1,606,269"
"Matthew Slater","NE","WR","$1,600,000"
"Tress Way","WAS","P","$1,600,000"
"Alex Erickson","CIN","WR","$1,600,000"
"Jaire Alexander","GB","CB","$1,575,522"
"Leighton Vander Esch","DAL","OLB","$1,557,071"
"Frank Ragnow","DET","C","$1,550,922"
"Joe Haeg","TB","RT","$1,550,000"
"Aaron Rodgers","GB","QB","$1,550,000"
"Billy Price","CIN","C","$1,544,772"
"Chris Moore","BAL","WR","$1,535,000"
"Rashaan Evans","TEN","ILB","$1,532,472"
"Josh Allen","JAC","DE","$1,528,756"
"Jordan Poyer","BUF","SS","$1,525,000"
"Randy Bullock","CIN","K","$1,525,000"
"Isaiah Wynn","NE","LT","$1,520,173"
"Danny Amendola","DET","WR","$1,500,000"
"Xavier Rhodes","IND","CB","$1,500,000"
"Danny Shelton","DET","DT","$1,500,000"
"Austin Hooper","CLE","TE","$1,500,000"
"Kevin Johnson","CLE","CB","$1,500,000"
"Brian Poole","NYJ","CB","$1,500,000"
"Case Keenum","CLE","QB","$1,500,000"
"Karl Joseph","CLE","SS","$1,500,000"
"Linval Joseph","LAC","DT","$1,500,000"
"Jordan Jenkins","NYJ","OLB","$1,500,000"
"Austin Ekeler","LAC","RB","$1,500,000"
"Bryan Bulaga","LAC","LT","$1,500,000"
"Clayton Fejedelem","MIA","SS","$1,500,000"
"Ben Roethlisberger","PIT","QB","$1,500,000"
"John Simon","NE","DE","$1,500,000"
"Cameron Heyward","PIT","DT","$1,500,000"
"Thomas Davis","WAS","ILB","$1,500,000"
"Matt Barkley","BUF","QB","$1,500,000"
